"epoch","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MAX","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MAX","E_org_svo2080_YJ_20231125T172437 - _step","E_org_svo2080_YJ_20231125T172437 - _step__MIN","E_org_svo2080_YJ_20231125T172437 - _step__MAX","E_org_svo2080_YJ_20231125T172437 - val_avg_reward","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MIN","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MAX","E_rel_svo2080_YJ_20231125T172153 - _step","E_rel_svo2080_YJ_20231125T172153 - _step__MIN","E_rel_svo2080_YJ_20231125T172153 - _step__MAX","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MIN","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - _step","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MAX"
"48","2498","2498","2498","3.601290702819824","3.601290702819824","3.601290702819824","2498","2498","2498","3.708505392074585","3.708505392074585","3.708505392074585","2498","2498","2498","3.6781136989593506","3.6781136989593506","3.6781136989593506","2498","2498","2498","3.7347726821899414","3.7347726821899414","3.7347726821899414","2498","2498","2498","4.40888786315918","4.40888786315918","4.40888786315918"
"49","2549","2549","2549","3.5969460010528564","3.5969460010528564","3.5969460010528564","2549","2549","2549","3.7091243267059326","3.7091243267059326","3.7091243267059326","2549","2549","2549","3.6735312938690186","3.6735312938690186","3.6735312938690186","2549","2549","2549","3.7295846939086914","3.7295846939086914","3.7295846939086914","2549","2549","2549","4.414045810699463","4.414045810699463","4.414045810699463"
"50","2600","2600","2600","3.5990679264068604","3.5990679264068604","3.5990679264068604","2600","2600","2600","3.706937789916992","3.706937789916992","3.706937789916992","2600","2600","2600","3.676356554031372","3.676356554031372","3.676356554031372","2600","2600","2600","3.729442596435547","3.729442596435547","3.729442596435547","2600","2600","2600","4.412186622619629","4.412186622619629","4.412186622619629"
"51","2651","2651","2651","3.5986247062683105","3.5986247062683105","3.5986247062683105","2651","2651","2651","3.703010082244873","3.703010082244873","3.703010082244873","2651","2651","2651","3.677503824234009","3.677503824234009","3.677503824234009","2651","2651","2651","3.734640598297119","3.734640598297119","3.734640598297119","2651","2651","2651","4.405725955963135","4.405725955963135","4.405725955963135"
"52","2702","2702","2702","3.5852999687194824","3.5852999687194824","3.5852999687194824","2702","2702","2702","3.7010059356689453","3.7010059356689453","3.7010059356689453","2702","2702","2702","3.6773061752319336","3.6773061752319336","3.6773061752319336","2702","2702","2702","3.731437921524048","3.731437921524048","3.731437921524048","2702","2702","2702","4.3987345695495605","4.3987345695495605","4.3987345695495605"
"53","2753","2753","2753","3.5888683795928955","3.5888683795928955","3.5888683795928955","2753","2753","2753","3.6971988677978516","3.6971988677978516","3.6971988677978516","2753","2753","2753","3.6680679321289062","3.6680679321289062","3.6680679321289062","2753","2753","2753","3.726064443588257","3.726064443588257","3.726064443588257","2753","2753","2753","4.40080451965332","4.40080451965332","4.40080451965332"
"54","2804","2804","2804","3.5908398628234863","3.5908398628234863","3.5908398628234863","2804","2804","2804","3.6965749263763428","3.6965749263763428","3.6965749263763428","2804","2804","2804","3.6671366691589355","3.6671366691589355","3.6671366691589355","2804","2804","2804","3.7360284328460693","3.7360284328460693","3.7360284328460693","2804","2804","2804","4.405246257781982","4.405246257781982","4.405246257781982"
"55","2855","2855","2855","3.5878167152404785","3.5878167152404785","3.5878167152404785","2855","2855","2855","3.691453218460083","3.691453218460083","3.691453218460083","2855","2855","2855","3.6595253944396973","3.6595253944396973","3.6595253944396973","2855","2855","2855","3.7216153144836426","3.7216153144836426","3.7216153144836426","2855","2855","2855","4.403369903564453","4.403369903564453","4.403369903564453"
"56","2906","2906","2906","3.5793168544769287","3.5793168544769287","3.5793168544769287","2906","2906","2906","3.6932411193847656","3.6932411193847656","3.6932411193847656","2906","2906","2906","3.6594207286834717","3.6594207286834717","3.6594207286834717","2906","2906","2906","3.725008964538574","3.725008964538574","3.725008964538574","2906","2906","2906","4.405000686645508","4.405000686645508","4.405000686645508"
"57","2957","2957","2957","3.5820300579071045","3.5820300579071045","3.5820300579071045","2957","2957","2957","3.677114486694336","3.677114486694336","3.677114486694336","2957","2957","2957","3.662083625793457","3.662083625793457","3.662083625793457","2957","2957","2957","3.719000816345215","3.719000816345215","3.719000816345215","2957","2957","2957","4.397562503814697","4.397562503814697","4.397562503814697"
"58","3008","3008","3008","3.580453872680664","3.580453872680664","3.580453872680664","3008","3008","3008","3.6832773685455322","3.6832773685455322","3.6832773685455322","3008","3008","3008","3.66797137260437","3.66797137260437","3.66797137260437","3008","3008","3008","3.722623348236084","3.722623348236084","3.722623348236084","3008","3008","3008","4.394715309143066","4.394715309143066","4.394715309143066"
"59","3059","3059","3059","3.5778491497039795","3.5778491497039795","3.5778491497039795","3059","3059","3059","3.67175030708313","3.67175030708313","3.67175030708313","3059","3059","3059","3.6517488956451416","3.6517488956451416","3.6517488956451416","3059","3059","3059","3.7202460765838623","3.7202460765838623","3.7202460765838623","3059","3059","3059","4.396666526794434","4.396666526794434","4.396666526794434"
"60","3110","3110","3110","3.576841354370117","3.576841354370117","3.576841354370117","3110","3110","3110","3.6780917644500732","3.6780917644500732","3.6780917644500732","3110","3110","3110","3.6533234119415283","3.6533234119415283","3.6533234119415283","3110","3110","3110","3.7245676517486572","3.7245676517486572","3.7245676517486572","3110","3110","3110","4.391810894012451","4.391810894012451","4.391810894012451"
"61","3161","3161","3161","3.582411289215088","3.582411289215088","3.582411289215088","3161","3161","3161","3.679673433303833","3.679673433303833","3.679673433303833","3161","3161","3161","3.649177312850952","3.649177312850952","3.649177312850952","3161","3161","3161","3.706512212753296","3.706512212753296","3.706512212753296","3161","3161","3161","4.406428337097168","4.406428337097168","4.406428337097168"
"62","3212","3212","3212","3.56921124458313","3.56921124458313","3.56921124458313","3212","3212","3212","3.6672534942626953","3.6672534942626953","3.6672534942626953","3212","3212","3212","3.6519594192504883","3.6519594192504883","3.6519594192504883","3212","3212","3212","3.712299108505249","3.712299108505249","3.712299108505249","3212","3212","3212","4.399501800537109","4.399501800537109","4.399501800537109"
"63","3263","3263","3263","3.57110857963562","3.57110857963562","3.57110857963562","3263","3263","3263","3.6676669120788574","3.6676669120788574","3.6676669120788574","3263","3263","3263","3.6474192142486572","3.6474192142486572","3.6474192142486572","3263","3263","3263","3.7099125385284424","3.7099125385284424","3.7099125385284424","3263","3263","3263","4.391959190368652","4.391959190368652","4.391959190368652"
"64","3314","3314","3314","3.575873374938965","3.575873374938965","3.575873374938965","3314","3314","3314","3.661165714263916","3.661165714263916","3.661165714263916","3314","3314","3314","3.6488585472106934","3.6488585472106934","3.6488585472106934","3314","3314","3314","3.70884108543396","3.70884108543396","3.70884108543396","3314","3314","3314","4.395593166351318","4.395593166351318","4.395593166351318"
"65","3365","3365","3365","3.5721983909606934","3.5721983909606934","3.5721983909606934","3365","3365","3365","3.6559176445007324","3.6559176445007324","3.6559176445007324","3365","3365","3365","3.645167112350464","3.645167112350464","3.645167112350464","3365","3365","3365","3.7066805362701416","3.7066805362701416","3.7066805362701416","3365","3365","3365","4.393440246582031","4.393440246582031","4.393440246582031"
"66","3416","3416","3416","3.570753574371338","3.570753574371338","3.570753574371338","3416","3416","3416","3.6765859127044678","3.6765859127044678","3.6765859127044678","3416","3416","3416","3.638923406600952","3.638923406600952","3.638923406600952","3416","3416","3416","3.7138397693634033","3.7138397693634033","3.7138397693634033","3416","3416","3416","4.392651557922363","4.392651557922363","4.392651557922363"
"67","3467","3467","3467","3.579932928085327","3.579932928085327","3.579932928085327","3467","3467","3467","3.6639621257781982","3.6639621257781982","3.6639621257781982","3467","3467","3467","3.6370444297790527","3.6370444297790527","3.6370444297790527","3467","3467","3467","3.7143211364746094","3.7143211364746094","3.7143211364746094","3467","3467","3467","4.406925201416016","4.406925201416016","4.406925201416016"
"68","3518","3518","3518","3.5643889904022217","3.5643889904022217","3.5643889904022217","3518","3518","3518","3.658358573913574","3.658358573913574","3.658358573913574","3518","3518","3518","3.6438937187194824","3.6438937187194824","3.6438937187194824","3518","3518","3518","3.709559679031372","3.709559679031372","3.709559679031372","3518","3518","3518","4.389702320098877","4.389702320098877","4.389702320098877"
"69","3569","3569","3569","3.5617852210998535","3.5617852210998535","3.5617852210998535","3569","3569","3569","3.6515984535217285","3.6515984535217285","3.6515984535217285","3569","3569","3569","3.6529734134674072","3.6529734134674072","3.6529734134674072","3569","3569","3569","3.7117092609405518","3.7117092609405518","3.7117092609405518","3569","3569","3569","4.403521537780762","4.403521537780762","4.403521537780762"
"70","3620","3620","3620","3.566121816635132","3.566121816635132","3.566121816635132","3620","3620","3620","3.6526858806610107","3.6526858806610107","3.6526858806610107","3620","3620","3620","3.6330249309539795","3.6330249309539795","3.6330249309539795","3620","3620","3620","3.7120866775512695","3.7120866775512695","3.7120866775512695","3620","3620","3620","4.40195369720459","4.40195369720459","4.40195369720459"
"71","3671","3671","3671","3.5594136714935303","3.5594136714935303","3.5594136714935303","3671","3671","3671","3.653110980987549","3.653110980987549","3.653110980987549","3671","3671","3671","3.6301426887512207","3.6301426887512207","3.6301426887512207","3671","3671","3671","3.7056586742401123","3.7056586742401123","3.7056586742401123","3671","3671","3671","4.397848606109619","4.397848606109619","4.397848606109619"
"72","3722","3722","3722","3.5592031478881836","3.5592031478881836","3.5592031478881836","3722","3722","3722","3.650184392929077","3.650184392929077","3.650184392929077","3722","3722","3722","3.635206937789917","3.635206937789917","3.635206937789917","3722","3722","3722","3.7068169116973877","3.7068169116973877","3.7068169116973877","3722","3722","3722","4.403703689575195","4.403703689575195","4.403703689575195"
"73","3773","3773","3773","3.556870222091675","3.556870222091675","3.556870222091675","3773","3773","3773","3.650465965270996","3.650465965270996","3.650465965270996","3773","3773","3773","3.6235735416412354","3.6235735416412354","3.6235735416412354","3773","3773","3773","3.7093186378479004","3.7093186378479004","3.7093186378479004","3773","3773","3773","4.403069972991943","4.403069972991943","4.403069972991943"
"74","3824","3824","3824","3.555307149887085","3.555307149887085","3.555307149887085","3824","3824","3824","3.642925500869751","3.642925500869751","3.642925500869751","3824","3824","3824","3.634918689727783","3.634918689727783","3.634918689727783","3824","3824","3824","3.692323923110962","3.692323923110962","3.692323923110962","3824","3824","3824","4.393308639526367","4.393308639526367","4.393308639526367"
"75","3875","3875","3875","3.556178569793701","3.556178569793701","3.556178569793701","3875","3875","3875","3.642176628112793","3.642176628112793","3.642176628112793","3875","3875","3875","3.6269702911376953","3.6269702911376953","3.6269702911376953","3875","3875","3875","3.694803476333618","3.694803476333618","3.694803476333618","3875","3875","3875","4.398501873016357","4.398501873016357","4.398501873016357"
"76","3926","3926","3926","3.552467107772827","3.552467107772827","3.552467107772827","3926","3926","3926","3.637723445892334","3.637723445892334","3.637723445892334","3926","3926","3926","3.6230413913726807","3.6230413913726807","3.6230413913726807","3926","3926","3926","3.700390338897705","3.700390338897705","3.700390338897705","3926","3926","3926","4.390203475952148","4.390203475952148","4.390203475952148"
"77","3977","3977","3977","3.55110239982605","3.55110239982605","3.55110239982605","3977","3977","3977","3.6484031677246094","3.6484031677246094","3.6484031677246094","3977","3977","3977","3.627610206604004","3.627610206604004","3.627610206604004","3977","3977","3977","3.7005274295806885","3.7005274295806885","3.7005274295806885","3977","3977","3977","4.3982343673706055","4.3982343673706055","4.3982343673706055"
"78","4028","4028","4028","3.552884101867676","3.552884101867676","3.552884101867676","4028","4028","4028","3.6438069343566895","3.6438069343566895","3.6438069343566895","4028","4028","4028","3.6269469261169434","3.6269469261169434","3.6269469261169434","4028","4028","4028","3.689620018005371","3.689620018005371","3.689620018005371","4028","4028","4028","4.387238502502441","4.387238502502441","4.387238502502441"
"79","4079","4079","4079","3.549640655517578","3.549640655517578","3.549640655517578","4079","4079","4079","3.643665313720703","3.643665313720703","3.643665313720703","4079","4079","4079","3.6240227222442627","3.6240227222442627","3.6240227222442627","4079","4079","4079","3.7047784328460693","3.7047784328460693","3.7047784328460693","4079","4079","4079","4.39755916595459","4.39755916595459","4.39755916595459"
"80","4130","4130","4130","3.5502912998199463","3.5502912998199463","3.5502912998199463","4130","4130","4130","3.6441800594329834","3.6441800594329834","3.6441800594329834","4130","4130","4130","3.623203992843628","3.623203992843628","3.623203992843628","4130","4130","4130","3.6918234825134277","3.6918234825134277","3.6918234825134277","4130","4130","4130","4.393130779266357","4.393130779266357","4.393130779266357"
"81","4181","4181","4181","3.5502536296844482","3.5502536296844482","3.5502536296844482","4181","4181","4181","3.6338846683502197","3.6338846683502197","3.6338846683502197","4181","4181","4181","3.6182968616485596","3.6182968616485596","3.6182968616485596","4181","4181","4181","3.705113172531128","3.705113172531128","3.705113172531128","4181","4181","4181","4.395937442779541","4.395937442779541","4.395937442779541"
"82","4232","4232","4232","3.549598455429077","3.549598455429077","3.549598455429077","4232","4232","4232","3.638667106628418","3.638667106628418","3.638667106628418","4232","4232","4232","3.6207242012023926","3.6207242012023926","3.6207242012023926","4232","4232","4232","3.6913108825683594","3.6913108825683594","3.6913108825683594","4232","4232","4232","4.3956828117370605","4.3956828117370605","4.3956828117370605"
"83","4283","4283","4283","3.5440235137939453","3.5440235137939453","3.5440235137939453","4283","4283","4283","3.633671760559082","3.633671760559082","3.633671760559082","4283","4283","4283","3.6096839904785156","3.6096839904785156","3.6096839904785156","4283","4283","4283","3.689436674118042","3.689436674118042","3.689436674118042","4283","4283","4283","4.398865699768066","4.398865699768066","4.398865699768066"
"84","4334","4334","4334","3.5391316413879395","3.5391316413879395","3.5391316413879395","4334","4334","4334","3.6319656372070312","3.6319656372070312","3.6319656372070312","4334","4334","4334","3.6205477714538574","3.6205477714538574","3.6205477714538574","4334","4334","4334","3.6902999877929688","3.6902999877929688","3.6902999877929688","4334","4334","4334","4.396206378936768","4.396206378936768","4.396206378936768"
"85","4385","4385","4385","3.544982433319092","3.544982433319092","3.544982433319092","4385","4385","4385","3.639272928237915","3.639272928237915","3.639272928237915","4385","4385","4385","3.6149163246154785","3.6149163246154785","3.6149163246154785","4385","4385","4385","3.6911277770996094","3.6911277770996094","3.6911277770996094","4385","4385","4385","4.409346580505371","4.409346580505371","4.409346580505371"
"86","4436","4436","4436","3.5356926918029785","3.5356926918029785","3.5356926918029785","4436","4436","4436","3.633376121520996","3.633376121520996","3.633376121520996","4436","4436","4436","3.6190850734710693","3.6190850734710693","3.6190850734710693","4436","4436","4436","3.689776659011841","3.689776659011841","3.689776659011841","4436","4436","4436","4.391538619995117","4.391538619995117","4.391538619995117"
"87","4487","4487","4487","3.5378077030181885","3.5378077030181885","3.5378077030181885","4487","4487","4487","3.630317211151123","3.630317211151123","3.630317211151123","4487","4487","4487","3.6143479347229004","3.6143479347229004","3.6143479347229004","4487","4487","4487","3.6889588832855225","3.6889588832855225","3.6889588832855225","4487","4487","4487","4.395522594451904","4.395522594451904","4.395522594451904"
"88","4538","4538","4538","3.538275718688965","3.538275718688965","3.538275718688965","4538","4538","4538","3.623856544494629","3.623856544494629","3.623856544494629","4538","4538","4538","3.622195243835449","3.622195243835449","3.622195243835449","4538","4538","4538","3.6888909339904785","3.6888909339904785","3.6888909339904785","4538","4538","4538","4.398543357849121","4.398543357849121","4.398543357849121"
"89","4589","4589","4589","3.5389535427093506","3.5389535427093506","3.5389535427093506","4589","4589","4589","3.621408700942993","3.621408700942993","3.621408700942993","4589","4589","4589","3.607943058013916","3.607943058013916","3.607943058013916","4589","4589","4589","3.6954991817474365","3.6954991817474365","3.6954991817474365","4589","4589","4589","4.385156154632568","4.385156154632568","4.385156154632568"
"90","4640","4640","4640","3.5398054122924805","3.5398054122924805","3.5398054122924805","4640","4640","4640","3.6258718967437744","3.6258718967437744","3.6258718967437744","4640","4640","4640","3.608490228652954","3.608490228652954","3.608490228652954","4640","4640","4640","3.686051845550537","3.686051845550537","3.686051845550537","4640","4640","4640","4.389702796936035","4.389702796936035","4.389702796936035"
"91","4691","4691","4691","3.5317981243133545","3.5317981243133545","3.5317981243133545","4691","4691","4691","3.6290524005889893","3.6290524005889893","3.6290524005889893","4691","4691","4691","3.6202683448791504","3.6202683448791504","3.6202683448791504","4691","4691","4691","3.688232898712158","3.688232898712158","3.688232898712158","4691","4691","4691","4.3932318687438965","4.3932318687438965","4.3932318687438965"
"92","4742","4742","4742","3.5293502807617188","3.5293502807617188","3.5293502807617188","4742","4742","4742","3.624464750289917","3.624464750289917","3.624464750289917","4742","4742","4742","3.6025500297546387","3.6025500297546387","3.6025500297546387","4742","4742","4742","3.687997579574585","3.687997579574585","3.687997579574585","4742","4742","4742","4.3933210372924805","4.3933210372924805","4.3933210372924805"
"93","4793","4793","4793","3.527078151702881","3.527078151702881","3.527078151702881","4793","4793","4793","3.620126247406006","3.620126247406006","3.620126247406006","4793","4793","4793","3.5972938537597656","3.5972938537597656","3.5972938537597656","4793","4793","4793","3.682568073272705","3.682568073272705","3.682568073272705","4793","4793","4793","4.393406867980957","4.393406867980957","4.393406867980957"
"94","4844","4844","4844","3.5344746112823486","3.5344746112823486","3.5344746112823486","4844","4844","4844","3.6319093704223633","3.6319093704223633","3.6319093704223633","4844","4844","4844","3.60728120803833","3.60728120803833","3.60728120803833","4844","4844","4844","3.6726105213165283","3.6726105213165283","3.6726105213165283","4844","4844","4844","4.389321327209473","4.389321327209473","4.389321327209473"
"95","4895","4895","4895","3.5292370319366455","3.5292370319366455","3.5292370319366455","4895","4895","4895","3.6251468658447266","3.6251468658447266","3.6251468658447266","4895","4895","4895","3.6079328060150146","3.6079328060150146","3.6079328060150146","4895","4895","4895","3.6866445541381836","3.6866445541381836","3.6866445541381836","4895","4895","4895","4.3880228996276855","4.3880228996276855","4.3880228996276855"
"96","4946","4946","4946","3.5255613327026367","3.5255613327026367","3.5255613327026367","4946","4946","4946","3.615384340286255","3.615384340286255","3.615384340286255","4946","4946","4946","3.603078842163086","3.603078842163086","3.603078842163086","4946","4946","4946","3.6777844429016113","3.6777844429016113","3.6777844429016113","4946","4946","4946","4.387489318847656","4.387489318847656","4.387489318847656"
"97","4997","4997","4997","3.5297741889953613","3.5297741889953613","3.5297741889953613","4997","4997","4997","3.619420289993286","3.619420289993286","3.619420289993286","4997","4997","4997","3.5949995517730713","3.5949995517730713","3.5949995517730713","4997","4997","4997","3.682663679122925","3.682663679122925","3.682663679122925","4997","4997","4997","4.398913383483887","4.398913383483887","4.398913383483887"
"98","5048","5048","5048","3.5239531993865967","3.5239531993865967","3.5239531993865967","5048","5048","5048","3.61338210105896","3.61338210105896","3.61338210105896","5048","5048","5048","3.6000475883483887","3.6000475883483887","3.6000475883483887","5048","5048","5048","3.680772542953491","3.680772542953491","3.680772542953491","5048","5048","5048","4.3899736404418945","4.3899736404418945","4.3899736404418945"
"99","5099","5099","5099","3.5253312587738037","3.5253312587738037","3.5253312587738037","5099","5099","5099","3.6142852306365967","3.6142852306365967","3.6142852306365967","5099","5099","5099","3.5927631855010986","3.5927631855010986","3.5927631855010986","5099","5099","5099","3.6838698387145996","3.6838698387145996","3.6838698387145996","5099","5099","5099","4.397592067718506","4.397592067718506","4.397592067718506"